stock_code,total_number_of_shares,market_value,stock_name,listed_market,wel_delete,enterprise_name,enterprise_id,update_time,gics_code,gics_code4
000566.SZ,1338379996.0,8043663781.2,海南海药,1,0,海南海药股份有限公司,26825,2021-05-13 00:00:00,352020,35202010
000567.SZ,649839141.0,6225458971.459999,海德股份,1,0,海南海德资本管理股份有限公司,26826,2021-05-13 00:00:00,402010,40201020
000568.SZ,1458310695.0,354806992261.48004,泸州老窖,1,0,泸州老窖股份有限公司,26827,2021-05-13 00:00:00,302010,30201020
000570.SZ,563480796.0,3003352644.1,苏常柴A,1,0,常柴股份有限公司,26828,2021-05-13 00:00:00,201060,20106010
000571.SZ,799396180.0,1774659520.0,*ST大洲,1,1,新大洲控股股份有限公司,26829,2021-05-13 00:00:00,101020,10102050
000572.SZ,1726159352.0,8009379394.620001,ST海马,1,1,海马汽车股份有限公司,26830,2021-05-13 00:00:00,251020,25102010
000573.SZ,640387140.0,1940373036.1599998,粤宏远A,1,0,东莞宏远工业区股份有限公司,26831,2021-05-13 00:00:00,601020,60102030
000576.SZ,437188809.0,4778473685.96,甘化科工,1,0,广东甘化科工股份有限公司,101434,2021-05-13 00:00:00,151050,15105020
000581.SZ,1004279502.0,23861680980.5,威孚高科,1,0,无锡威孚高科技集团股份有限公司,26833,2021-05-13 00:00:00,251010,25101010
000582.SZ,1630529554.0,14560628926.14,北部湾港,1,0,北部湾港股份有限公司,26834,2021-05-13 00:00:00,203050,20305030
000584.SZ,750925240.0,5707031827.5,哈工智能,1,0,江苏哈工智能机器人股份有限公司,26835,2021-05-13 00:00:00,202010,20201050
000585.SZ,867945341.0,1397392000.0,*ST东电,1,1,东北电气发展股份有限公司,26836,2021-05-13 00:00:00,201040,20104010
000586.SZ,192892786.0,1363752000.0,汇源通信,1,0,四川汇源光通信股份有限公司,26837,2021-05-13 00:00:00,452010,45201020
000587.SZ,2098910156.0,3589136367.7,*ST金洲,1,1,金洲慈航集团股份有限公司,26838,2021-05-13 00:00:00,252030,25203010
000589.SZ,945642849.0,5929180664.4,贵州轮胎,1,0,贵州轮胎股份有限公司,26839,2021-05-13 00:00:00,251010,25101020
000590.SZ,254420918.0,2200740943.73,启迪药业,1,0,启迪药业集团股份公司,0,2021-05-13 00:00:00,352020,35202010
000591.SZ,2975396697.0,19756634070.24,太阳能,1,0,中节能太阳能股份有限公司,26841,2021-05-13 00:00:00,551050,55105020
000591.SZ,2975396697.0,19756634070.24,太阳能,1,0,中节能太阳能股份有限公司,26841,2021-05-13 00:00:00,0,0
000592.SZ,1870841431.0,5930567338.440001,平潭发展,1,0,中福海峡(平潭)发展股份有限公司,26842,2021-05-13 00:00:00,151050,15105010
000593.SZ,345894580.0,1850536006.4399998,大通燃气,1,0,四川大通燃气开发股份有限公司,26843,2021-05-13 00:00:00,551020,55102010
000595.SZ,1174081230.0,2641682769.12,*ST宝实,1,1,宝塔实业股份有限公司,26844,2021-05-13 00:00:00,201060,20106020
000596.SZ,503456052.0,105680460000.0,古井贡酒,1,0,安徽古井贡酒股份有限公司,26845,2021-05-13 00:00:00,302010,30201020
000597.SZ,1391304754.0,6942610726.639999,东北制药,1,0,东北制药集团股份有限公司,26846,2021-05-13 00:00:00,352020,35202010
000598.SZ,2980508814.0,15588061102.44,兴蓉环境,1,0,成都市兴蓉环境股份有限公司,26847,2021-05-13 00:00:00,551040,55104010
000599.SZ,820333567.0,3502824332.58,青岛双星,1,0,青岛双星股份有限公司,26848,2021-05-13 00:00:00,251010,25101020
000600.SZ,1774819374.0,9459787265.279999,建投能源,1,0,河北建投能源投资股份有限公司,26849,2021-05-13 00:00:00,551010,55101010
